NDC Package Code,category,medication,combo,search_type,search_term,source_file,Proprietary Name,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
0904-7200-61,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,40 mg/1,TABLET,ORAL,ANDA077321,Major Pharmaceuticals,0904-7200,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,06/01/2021,N/A,ANDA,100 BLISTER PACK in 1 CARTON (0904-7200-61)  / 1 TABLET in 1 BLISTER PACK,"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
23155-876-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,lisinopril,2.5 mg/1,TABLET,ORAL,ANDA076102,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.(780779901),23155-876,lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/06/2023,N/A,ANDA,100 TABLET in 1 BOTTLE (23155-876-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
23155-876-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,lisinopril,2.5 mg/1,TABLET,ORAL,ANDA076102,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.(780779901),23155-876,lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/06/2023,N/A,ANDA,500 TABLET in 1 BOTTLE (23155-876-05),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
23155-877-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,lisinopril,5 mg/1,TABLET,ORAL,ANDA076102,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.(780779901),23155-877,lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/06/2023,N/A,ANDA,100 TABLET in 1 BOTTLE (23155-877-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
23155-877-10,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,lisinopril,5 mg/1,TABLET,ORAL,ANDA076102,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.(780779901),23155-877,lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/06/2023,N/A,ANDA,1000 TABLET in 1 BOTTLE (23155-877-10),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
23155-878-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,lisinopril,10 mg/1,TABLET,ORAL,ANDA076102,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.(780779901),23155-878,lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/06/2023,N/A,ANDA,100 TABLET in 1 BOTTLE (23155-878-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
23155-878-10,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,lisinopril,10 mg/1,TABLET,ORAL,ANDA076102,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.(780779901),23155-878,lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/06/2023,N/A,ANDA,1000 TABLET in 1 BOTTLE (23155-878-10),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
23155-879-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,lisinopril,20 mg/1,TABLET,ORAL,ANDA076102,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.(780779901),23155-879,lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/06/2023,N/A,ANDA,100 TABLET in 1 BOTTLE (23155-879-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
23155-879-10,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,lisinopril,20 mg/1,TABLET,ORAL,ANDA076102,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.(780779901),23155-879,lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/06/2023,N/A,ANDA,1000 TABLET in 1 BOTTLE (23155-879-10),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
23155-880-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,lisinopril,30 mg/1,TABLET,ORAL,ANDA076102,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.(780779901),23155-880,lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,09/06/2023,N/A,ANDA,100 TABLET in 1 BOTTLE (23155-880-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
